ID,Author,Quote
1,St. Ephraim the Syrian,Everyday I lay the foundation for my repentance and with my own hands i tear it apart
2,John Wesley,"Do all the good you can, By all the means you can, In all the ways you can, In all the places you can, At all the times you can, To all the people you can, As long as ever you can."
3,Jonathan Edwards,"God is the highest good of the reasonable creature. The enjoyment of him is our proper; and is the only happiness with which our souls can be satisfied. To go to heaven, fully to enjoy God, is infinitely better than the most pleasant accommodations here. Better than fathers and mothers, husbands, wives, or children, or the company of any, or all earthly friends. These are but shadows; but the enjoyment of God is the substance. These are but scattered beams; but God is the sun. These are but streams; but God is the fountain. These are but drops, but God is the ocean."
4,St. Anselm,No one will have any other desire in heaven than what God wills; and the desire of one will be the desire of all; and the desire of all and of each one will also be the desire of God.
5,Martin Luther,"Faith is a living, daring confidence in God's grace, so sure and certain that a man could stake his life on it a thousand times."
6,St. Ignatius of Antioch,Do not have Jesus Christ on your lips and the World in your heart.
7,Wilhelm Lohe,"What do I want? I want to serve. Whom do I want to serve? The Lord in the person of his poor suffering children. And what is my reward? I serve for neither reward or thanks, but out of gratitude and love; my rewards is that I am permitted to serve."
8,St. John Chrysostom,Let no one mourn that he has fallen again and again; for forgiveness has risen from the grave.
9,Martin Luther,The Law is for the proud and the Gospel for the brokenhearted.
10,Charles Wesley,The person who bears and suffers evil with meekness and silence is the sum of a Christian man.
11,St. Augustine,"He who falls, falls by his own will; and he who stands; stands by God’s will."
12,St. Isaac the Syrian,As much as you love your worst enemy – This is the measure of your love for God.
13,Soren Kierkegaard,"Never cease loving a person, and never give up hope for him, for even the prodigal son who had fallen most low, could still be saved; the bitterest enemy and also he who was your friend could again be your friend; love that has grown cold can kindle."
14,Thomas Watson,"He may look on death with joy, who can look on forgiveness with faith."
15,St. Augustine,God loves each of us as if there were only one of us.
16,R.C. Sproul,To have sound assurance we must understand that our salvation rests upon the merit of Christ alone
17,John Bunyan,"Thou art beaten that thou mayest be better.
"
18,St. Boniface,"In her voyage across the ocean of this world, the Church is like a great ship being pounded by the waves of life’s different stresses. Our duty is not to abandon ship but to keep her on her course."
19,D.L. Moody,"Some people think God does not like to be troubled with our constant coming and asking. The way to trouble God is not 
to come at all."
20,St. Francis of Assisi,"Remember that when you leave this earth,
you can take with you nothing that you have received—
only what you have given: a full heart enriched by honest
service, love, sacrifice and courage."
21,Bo Giertz,"Read God’s Word now as God’s Word, without skipping anything. Underline heavily everything about what our Savior has done for us. And if you like, write ‘For me’ in the margin. You need this yourself, and it is your duty to preach it to your congregation, as well."
22,St. Bede the Venerable,"Unfurl the sails, and let God steer us where He will."
23,Johann Gerhard,"I urge you with all sincerity that when you are truly contrite in your inmost heart for the sins you have committed, look to Him, who died for you on the altar of the Cross. He did this so that you would not be subject to eternal death. Turn your eyes from the outward appearance of death and place them on Christ who by His death has destroyed him who had the power of death, that is, the devil; And has delivered us who, through fear of death, were all our lifetime subject to bondage (Heb 2: 14– 15). He is the death of our death (Hos 13: 14); He is the sting to the Hell we deserved; He is the resurrection and the life; he who believes in Him, though he die, shall live; and everyone who lives and believes in Him shall never die (John 11: 25– 26)."
24,G.K. Chesterton,"The Bible tells us to love our neighbors, and also to love our enemies; probably because they are generally the same people."
25,Martyn Lloyd-Jones,Always respond to every impulse to pray.
26,Thomas Cranmer,The learning of the Christian man ought to begin with the fear of God.
27,St. Clement,The Lord has turned all our sunsets into sunrise.
28,George Whitefield,"Lord, help me to begin to begin."
29,Richard Hooker,"God is no captious sophister, eager to trip us up whenever we say amiss, but a courteous tutor, ready to amend what, in our weakness or our ignorance, we say ill, and to make the most of what we say aright."
30,A.W. Tozer,The key to prayer is simply praying.
31,St. Ignatius of Antioch,"No earthly pleasures, no kingdoms of this world can benefit me in any way. I prefer death in Christ Jesus to power over the farthest limits of the earth. He who died in place of us is the one object of my quest. He who rose for our sakes is my one desire."
